row_key,question_id,retrieval_method,evaluator,retrieval_relevance_1_5,answer_correctness_1_5,source_support_1_5,clarity_1_5,notes
1::tfidf,1,tfidf,Sölvi,5,5,5,4,
1::bm25,1,bm25,Sölvi,5,4,3,4,
1::rrf-icebert-bm25,1,rrf-icebert-bm25,Sölvi,2,2,3,4,
1::rrf-bge-m3-bm25,1,rrf-bge-m3-bm25,Sölvi,5,4,3,4,
1::rrf-bge-m3-bm25-rerank,1,rrf-bge-m3-bm25-rerank,Sölvi,5,5,5,4,
2::tfidf,2,tfidf,Sölvi,2,3,5,4,
2::bm25,2,bm25,Sölvi,2,2,3,4,
2::rrf-icebert-bm25,2,rrf-icebert-bm25,Sölvi,2,2,3,4,
2::rrf-bge-m3-bm25,2,rrf-bge-m3-bm25,Sölvi,5,4,3,4,
2::rrf-bge-m3-bm25-rerank,2,rrf-bge-m3-bm25-rerank,Sölvi,2,2,3,4,
3::tfidf,3,tfidf,Sölvi,2,2,3,4,
3::bm25,3,bm25,Sölvi,4,4,3,4,
3::rrf-icebert-bm25,3,rrf-icebert-bm25,Sölvi,4,4,5,4,
3::rrf-bge-m3-bm25,3,rrf-bge-m3-bm25,Sölvi,4,4,3,4,
3::rrf-bge-m3-bm25-rerank,3,rrf-bge-m3-bm25-rerank,Sölvi,5,5,5,4,
4::tfidf,4,tfidf,Sölvi,2,2,3,4,
4::bm25,4,bm25,Sölvi,2,2,3,4,
4::rrf-icebert-bm25,4,rrf-icebert-bm25,Sölvi,2,2,3,4,
4::rrf-bge-m3-bm25,4,rrf-bge-m3-bm25,Sölvi,2,2,5,4,
4::rrf-bge-m3-bm25-rerank,4,rrf-bge-m3-bm25-rerank,Sölvi,2,2,3,4,
5::tfidf,5,tfidf,Sölvi,5,5,5,4,
5::bm25,5,bm25,Sölvi,5,5,5,4,
5::rrf-icebert-bm25,5,rrf-icebert-bm25,Sölvi,5,4,3,4,
5::rrf-bge-m3-bm25,5,rrf-bge-m3-bm25,Sölvi,5,5,5,4,
5::rrf-bge-m3-bm25-rerank,5,rrf-bge-m3-bm25-rerank,Sölvi,5,5,5,4,
6::tfidf,6,tfidf,Sölvi,4,4,3,4,
6::bm25,6,bm25,Sölvi,2,2,3,4,
6::rrf-icebert-bm25,6,rrf-icebert-bm25,Sölvi,2,2,3,4,
6::rrf-bge-m3-bm25,6,rrf-bge-m3-bm25,Sölvi,5,4,3,4,
6::rrf-bge-m3-bm25-rerank,6,rrf-bge-m3-bm25-rerank,Sölvi,5,4,3,4,
7::tfidf,7,tfidf,Sölvi,5,4,3,4,
7::bm25,7,bm25,Sölvi,5,4,3,4,
7::rrf-icebert-bm25,7,rrf-icebert-bm25,Sölvi,4,4,3,4,
7::rrf-bge-m3-bm25,7,rrf-bge-m3-bm25,Sölvi,4,4,3,4,
7::rrf-bge-m3-bm25-rerank,7,rrf-bge-m3-bm25-rerank,Sölvi,5,4,3,4,
8::tfidf,8,tfidf,Sölvi,2,2,5,4,
8::bm25,8,bm25,Sölvi,2,2,5,4,
8::rrf-icebert-bm25,8,rrf-icebert-bm25,Sölvi,2,2,3,4,
