row_key,question_id,retrieval_method,evaluator,retrieval_relevance_1_5,answer_correctness_1_5,source_support_1_5,clarity_1_5,notes
1::tfidf,1,tfidf,Jóhannes,5,5,5,4,
1::bm25,1,bm25,Jóhannes,4,5,5,5,
1::rrf-icebert-bm25,1,rrf-icebert-bm25,Jóhannes,2,3,4,4,
1::rrf-bge-m3-bm25,1,rrf-bge-m3-bm25,Jóhannes,3,5,5,4,
1::rrf-bge-m3-bm25-rerank,1,rrf-bge-m3-bm25-rerank,Jóhannes,5,5,5,4,
2::tfidf,2,tfidf,Jóhannes,1,5,5,5,
2::bm25,2,bm25,Jóhannes,3,5,5,4,
2::rrf-icebert-bm25,2,rrf-icebert-bm25,Jóhannes,3,4,5,4,
2::rrf-bge-m3-bm25,2,rrf-bge-m3-bm25,Jóhannes,4,5,5,4,
2::rrf-bge-m3-bm25-rerank,2,rrf-bge-m3-bm25-rerank,Jóhannes,4,5,5,5,
3::tfidf,3,tfidf,Jóhannes,3,4,5,4,
3::bm25,3,bm25,Jóhannes,5,5,5,5,
3::rrf-icebert-bm25,3,rrf-icebert-bm25,Jóhannes,4,5,5,4,
3::rrf-bge-m3-bm25,3,rrf-bge-m3-bm25,Jóhannes,4,5,5,4,
3::rrf-bge-m3-bm25-rerank,3,rrf-bge-m3-bm25-rerank,Jóhannes,5,5,5,4,
4::tfidf,4,tfidf,Jóhannes,1,3,4,4,
4::bm25,4,bm25,Jóhannes,1,5,5,5,
4::rrf-icebert-bm25,4,rrf-icebert-bm25,Jóhannes,2,3,4,4,
4::rrf-bge-m3-bm25,4,rrf-bge-m3-bm25,Jóhannes,2,4,4,4,
4::rrf-bge-m3-bm25-rerank,4,rrf-bge-m3-bm25-rerank,Jóhannes,1,2,4,4,
5::tfidf,5,tfidf,Jóhannes,5,5,5,4,
5::bm25,5,bm25,Jóhannes,5,5,5,4,
5::rrf-icebert-bm25,5,rrf-icebert-bm25,Jóhannes,4,5,5,4,
5::rrf-bge-m3-bm25,5,rrf-bge-m3-bm25,Jóhannes,4,5,5,4,
5::rrf-bge-m3-bm25-rerank,5,rrf-bge-m3-bm25-rerank,Jóhannes,5,5,5,5,
6::tfidf,6,tfidf,Jóhannes,4,4,5,4,
6::bm25,6,bm25,Jóhannes,3,4,4,4,
6::rrf-icebert-bm25,6,rrf-icebert-bm25,Jóhannes,3,4,5,4,
6::rrf-bge-m3-bm25,6,rrf-bge-m3-bm25,Jóhannes,4,5,5,4,
6::rrf-bge-m3-bm25-rerank,6,rrf-bge-m3-bm25-rerank,Jóhannes,4,5,5,5,
7::tfidf,7,tfidf,Jóhannes,5,5,5,4,
7::bm25,7,bm25,Jóhannes,4,5,5,4,
