run_label,question_id,question,topic,case_type,expected_behavior,expected_relevant_section,retrieval_method,answer_method,top_1_chunk_id,top_1_title,top_1_section,top_1_score,top_3_sections,retrieval_check_applicable,expected_section_in_top_3,confidence,confidence_reason,prompt_profile,cited_source_count,source_count,source_coverage_ratio,llm_provider,llm_model,prompt_tokens,output_tokens,thought_tokens,total_tokens,estimated_cost_usd,latency_seconds,answer,source_urls,error
gemini-strict-final,1,Hvaða úrræði hefur neytandi ef söluhlutur reynist gallaður?,galli - lagaorð,legal_term,Svar á að nefna helstu úrræði neytanda vegna galla og vísa í viðeigandi heimild.,26. gr. Úrræði neytanda vegna galla.,tfidf,gemini:gemini-3-flash-preview,2003048.html_026,Lög um neytendakaup,26. gr. Úrræði neytanda vegna galla.,0.17941464949503902,26. gr. Úrræði neytanda vegna galla. | 42. gr. Skilaréttur eftir afhendingu. | 16. gr. Gallar.,True,True,low,Heimildir eða tilvísanir eru veikar og því ætti að lesa svarið með varúð.,strict,3,3,1.0,gemini,gemini-3-flash-preview,1699,186,430,2315,,3.818,"Ef söluhlutur reynist gallaður og gallinn er hvorki sök neytanda né stafar af aðstæðum sem hann varða getur neytandi haldið eftir greiðslu kaupverðs eða valið á milli þess að fá úrbætur eða nýja afhendingu [1]. Einnig er hægt að krafast afsláttar, riftunar eða skaðabóta eftir atvikum [1]. Við riftun fellur skylda neytanda til að greiða kaupverð niður [2]. Neytandi getur þó ekki borið fyrir sig galla sem hann vissi eða mátti vita um þegar kaupin voru gerð [3].

Heimildir: [1], [2], [3]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,1,Hvaða úrræði hefur neytandi ef söluhlutur reynist gallaður?,galli - lagaorð,legal_term,Svar á að nefna helstu úrræði neytanda vegna galla og vísa í viðeigandi heimild.,26. gr. Úrræði neytanda vegna galla.,bm25,gemini:gemini-3-flash-preview,2003048.html_026,Lög um neytendakaup,26. gr. Úrræði neytanda vegna galla.,12.409168312098119,26. gr. Úrræði neytanda vegna galla. | 16. gr. Gallar. | 42. gr. Skilaréttur eftir afhendingu.,True,True,high,Sterkustu heimildirnar hafa hátt vægi og svarið vísar í fleiri en eina heimild.,strict,2,3,0.6667,gemini,gemini-3-flash-preview,1699,172,882,2753,,5.423,"Ef söluhlutur reynist gallaður og gallinn er ekki sök neytanda getur hann valið á milli þess að krefjast úrbóta eða nýrrar afhendingar á hlutnum [1]. Einnig getur neytandi haldið eftir greiðslu kaupverðs, krafist afsláttar eða krafist riftunar á kaupum [1]. Samhliða þessum kröfum getur neytandi átt rétt á skaðabótum [1]. Neytandi getur þó ekki borið fyrir sig galla sem hann vissi eða mátti vita um þegar kaupin fóru fram [2].

Heimildir: [1], [2]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,1,Hvaða úrræði hefur neytandi ef söluhlutur reynist gallaður?,galli - lagaorð,legal_term,Svar á að nefna helstu úrræði neytanda vegna galla og vísa í viðeigandi heimild.,26. gr. Úrræði neytanda vegna galla.,rrf-icebert-bm25,gemini:gemini-3-flash-preview,2003048.html_030,Lög um neytendakaup,30. gr. Framkvæmd úrbóta og nýrrar afhendingar.,0.0315136476426799,30. gr. Framkvæmd úrbóta og nýrrar afhendingar. | 23. gr. Kaup með eignarréttarfyrirvara. | 42. gr. Skilaréttur eftir afhendingu.,True,False,low,Heimildir eða tilvísanir eru veikar og því ætti að lesa svarið með varúð.,strict,2,3,0.6667,gemini,gemini-3-flash-preview,1739,194,791,2724,,5.223,"Ef söluhlutur er gallaður getur neytandi krafist úrbóta eða nýrrar afhendingar sér að kostnaðarlausu, innan hæfilegs tíma og án verulegs óhagræðis [1]. Seljanda er að jafnaði óheimilt að reyna við úrbætur eða nýja afhendingu vegna sama galla oftar en tvisvar sinnum [1]. Ef úrbætur taka meira en eina viku getur neytandi undir ákveðnum kringumstæðum krafist þess að fá sambærilegan hlut til láns á meðan [1]. Þá fellur skylda neytanda til að greiða kaupverð niður ef kaupum er rift [3].

Heimildir: [1], [3]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2013033.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,1,Hvaða úrræði hefur neytandi ef söluhlutur reynist gallaður?,galli - lagaorð,legal_term,Svar á að nefna helstu úrræði neytanda vegna galla og vísa í viðeigandi heimild.,26. gr. Úrræði neytanda vegna galla.,rrf-bge-m3-bm25,gemini:gemini-3-flash-preview,2003048.html_026,Lög um neytendakaup,26. gr. Úrræði neytanda vegna galla.,0.03278688524590164,26. gr. Úrræði neytanda vegna galla. | 25. gr. Upplýsingaskylda um hindrun. | 17. gr. Hlutur seldur „í því ástandi sem hann er“. Sala á uppboði.,True,True,low,Heimildir eða tilvísanir eru veikar og því ætti að lesa svarið með varúð.,strict,1,3,0.3333,gemini,gemini-3-flash-preview,1383,169,863,2415,,6.64,"Ef söluhlutur reynist gallaður og gallinn er ekki sök neytanda getur hann valið á milli þess að halda eftir greiðslu, krefjast úrbóta eða nýrrar afhendingar [1]. Einnig getur neytandi krafist afsláttar, riftunar á kaupum eða skaðabóta [1]. Réttur til skaðabóta fellur ekki niður þótt neytandi geri aðrar kröfur samkvæmt lögunum [1]. Þessi úrræði geta einnig átt við um aðra ágalla á efndum seljanda eftir því sem við á [1].

Heimildir: [1]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,1,Hvaða úrræði hefur neytandi ef söluhlutur reynist gallaður?,galli - lagaorð,legal_term,Svar á að nefna helstu úrræði neytanda vegna galla og vísa í viðeigandi heimild.,26. gr. Úrræði neytanda vegna galla.,rrf-bge-m3-bm25-rerank,gemini:gemini-3-flash-preview,2003048.html_026,Lög um neytendakaup,26. gr. Úrræði neytanda vegna galla.,0.9988725781440735,26. gr. Úrræði neytanda vegna galla. | 27. gr. Tilkynning. | 30. gr. Framkvæmd úrbóta og nýrrar afhendingar.,True,True,high,Sterkustu heimildirnar hafa hátt vægi og svarið vísar í fleiri en eina heimild.,strict,3,3,1.0,gemini,gemini-3-flash-preview,1840,246,805,2891,,14.892,"Ef söluhlutur reynist gallaður getur neytandi haldið eftir greiðslu, valið á milli þess að fá hlutinn bættan eða nýja afhendingu, krafist afsláttar, riftunar eða skaðabóta [1]. Til þess að nýta þessi úrræði verður neytandi að tilkynna seljanda um gallann án ástæðulauss dráttar, en fresturinn er aldrei styttri en tveir mánuðir frá því að hann varð gallans var [2]. Úrbætur eða ný afhending skulu fara fram neytandanum að kostnaðarlausu og innan hæfilegs tíma [3]. Ef viðgerð dregst lengur en eina viku getur neytandi átt rétt á sambærilegum hlut til láns á kostnað seljanda, ef krafan telst sanngjörn [3].

Heimildir: [1], [2], [3]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,2,Hvað get ég gert ef varan sem ég keypti er biluð eða gölluð?,galli - daglegt orðalag,everyday_paraphrase,"Sama vænta heimild og í lagaorðaspurningu, en spurning notar almennara orðalag.",26. gr. Úrræði neytanda vegna galla.,tfidf,gemini:gemini-3-flash-preview,2005057.html_027,[Lög um eftirlit með viðskiptaháttum og markaðssetningu],[20. gr. b.,0.14662111504730116,[20. gr. b. | 14. gr. Áhættuflutningur. | 8. gr. Viðbótarskyldur við sendingarkaup.,True,False,low,Svarið segir sjálft að heimildirnar nægi ekki.,strict,3,3,1.0,gemini,gemini-3-flash-preview,1758,177,1155,3090,,7.365,"Ég finn ekki nægar upplýsingar í heimildunum til að svara þessu örugglega.

Heimildabrotin fjalla aðallega um hvenær áhætta af því að vara skemmist flyst yfir til neytanda [2] og skyldur seljanda við sendingu vöru [3]. Þau tilgreina hins vegar ekki hvaða úrræði neytandi hefur (svo sem viðgerð eða nýja vöru) ef hlutur reynist gallaður, fyrir utan heimild Neytendastofu til að krefjast endurgreiðslu í sérstökum tilvikum við eftirlit [1].

Heimildir: [1], [2], [3]",https://www.althingi.is/lagas/nuna/2005057.html | https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,2,Hvað get ég gert ef varan sem ég keypti er biluð eða gölluð?,galli - daglegt orðalag,everyday_paraphrase,"Sama vænta heimild og í lagaorðaspurningu, en spurning notar almennara orðalag.",26. gr. Úrræði neytanda vegna galla.,bm25,gemini:gemini-3-flash-preview,2003048.html_014,Lög um neytendakaup,14. gr. Áhættuflutningur.,9.682423696959578,14. gr. Áhættuflutningur. | 8. gr. Viðbótarskyldur við sendingarkaup. | 31. gr. Afsláttur.,True,False,high,Sterkustu heimildirnar hafa hátt vægi og svarið vísar í fleiri en eina heimild.,strict,2,3,0.6667,gemini,gemini-3-flash-preview,1832,220,1036,3088,,6.614,"Ef ekki verður af úrbótum eða nýrri afhendingu á gallaðri vöru getur þú átt rétt á afslætti af kaupverði [3]. Afslátturinn skal reiknaður út frá hlutfallinu milli verðgildis hlutarins í gölluðu og umsömdu ástandi við afhendingu, eða með hliðsjón af þýðingu gallans fyrir þig [3]. Athugið að neytandi ber jafnaðarlega áhættuna af því að vara skemmist eftir að hún hefur verið afhent eða tekin í vörslu [1]. Þessi réttur til afsláttar á þó ekki við um kaup á notuðum hlutum á uppboði þar sem neytandi hafði tök á að vera viðstaddur [3].

Heimildir: [1], [3]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,2,Hvað get ég gert ef varan sem ég keypti er biluð eða gölluð?,galli - daglegt orðalag,everyday_paraphrase,"Sama vænta heimild og í lagaorðaspurningu, en spurning notar almennara orðalag.",26. gr. Úrræði neytanda vegna galla.,rrf-icebert-bm25,gemini:gemini-3-flash-preview,2003048.html_016,Lög um neytendakaup,16. gr. Gallar.,0.031024531024531024,16. gr. Gallar. | 22. gr. Skyldur neytanda ef fallið er frá samningi um afhendingu vöru. | 8. gr. Viðbótarskyldur við sendingarkaup.,True,False,low,Heimildir eða tilvísanir eru veikar og því ætti að lesa svarið með varúð.,strict,2,3,0.6667,gemini,gemini-3-flash-preview,1867,186,2109,4162,,10.712,"Vara telst gölluð ef hún uppfyllir ekki kröfur í samningi, ef leiðbeiningar vantar eða ef hún svarar ekki til upplýsinga frá seljanda, nema þú hafir vitað um gallann við kaupin [1]. Ef fallið er frá samningi skal neytandi endursenda vöruna innan 14 daga frá tilkynningu og ber hann jafnaðarlega kostnað af skilunum [2]. Ég finn ekki nægar upplýsingar í heimildunum til að svara því örugglega hvaða kröfur þú getur gert vegna galla, svo sem um viðgerð, nýja vöru eða afslátt.

Heimildir: [1], [2]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2016016.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,2,Hvað get ég gert ef varan sem ég keypti er biluð eða gölluð?,galli - daglegt orðalag,everyday_paraphrase,"Sama vænta heimild og í lagaorðaspurningu, en spurning notar almennara orðalag.",26. gr. Úrræði neytanda vegna galla.,rrf-bge-m3-bm25,gemini:gemini-3-flash-preview,2003048.html_026,Lög um neytendakaup,26. gr. Úrræði neytanda vegna galla.,0.03047794966520434,26. gr. Úrræði neytanda vegna galla. | [20. gr. b. | 31. gr. Afsláttur.,True,True,low,Heimildir eða tilvísanir eru veikar og því ætti að lesa svarið með varúð.,strict,2,3,0.6667,gemini,gemini-3-flash-preview,1340,216,1158,2714,,7.253,"Ef vara reynist gölluð og það er hvorki sök neytanda né stafar af hans aðstæðum, getur hann valið á milli þess að krefjast úrbóta (viðgerðar) eða nýrrar afhendingar [1]. Einnig er hægt að halda eftir greiðslu kaupverðs, krefjast riftunar eða fá afslátt af kaupverði ef ekki verður af viðgerð eða nýrri afhendingu [1], [3]. Þá getur neytandi átt rétt á skaðabótum samhliða öðrum kröfum [1]. Athugið að ekki er hægt að krefjast afsláttar vegna notaðra hluta sem keyptir eru á uppboði þar sem neytandi gat verið viðstaddur [3].

Heimildir: [1], [3]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2005057.html | https://www.althingi.is/lagas/nuna/2003048.html,
gemini-strict-final,2,Hvað get ég gert ef varan sem ég keypti er biluð eða gölluð?,galli - daglegt orðalag,everyday_paraphrase,"Sama vænta heimild og í lagaorðaspurningu, en spurning notar almennara orðalag.",26. gr. Úrræði neytanda vegna galla.,rrf-bge-m3-bm25-rerank,gemini:gemini-3-flash-preview,2003048.html_031,Lög um neytendakaup,31. gr. Afsláttur.,0.32543548941612244,31. gr. Afsláttur. | 33. gr. Skaðabætur. | 22. gr. Skyldur neytanda ef fallið er frá samningi um afhendingu vöru.,True,False,high,Sterkustu heimildirnar hafa hátt vægi og svarið vísar í fleiri en eina heimild.,strict,2,3,0.6667,gemini,gemini-3-flash-preview,1393,140,937,2470,,14.826,"Ef varan er gölluð og ekki verður af úrbótum eða nýrri afhendingu getur þú krafist afsláttar af kaupverði [1]. Einnig er hægt að krefjast skaðabóta fyrir það tjón sem þú bíður vegna gallans [2]. Athugaðu að réttur til afsláttar á ekki við um kaup á notuðum hlutum á uppboði þar sem neytandi hafði möguleika á að vera viðstaddur [1].

Heimildir: [1], [2]",https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2003048.html | https://www.althingi.is/lagas/nuna/2016016.html,
