id,case_type,question,topic,expected_relevant_section,expected_behavior,bm25_top_section,tfidf_top_section,answer_correctness_1_5,source_support_1_5,clarity_1_5,notes
1,legal_term,"Hvaða úrræði hefur neytandi ef söluhlutur reynist gallaður?","galli - lagaorð","26. gr. Úrræði neytanda vegna galla.","Svar á að nefna helstu úrræði neytanda vegna galla og vísa í viðeigandi heimild.",,,,,,
2,everyday_paraphrase,"Hvað get ég gert ef varan sem ég keypti er biluð eða gölluð?","galli - daglegt orðalag","26. gr. Úrræði neytanda vegna galla.","Sama vænta heimild og í lagaorðaspurningu, en spurning notar almennara orðalag.",,,,,,
3,legal_term,"Hvenær telst söluhlutur vera gallaður samkvæmt lögunum?","skilgreining galla - lagaorð","16. gr. Gallar.","Svar á að útskýra hvenær söluhlutur telst gallaður.",,,,,,
4,everyday_paraphrase,"Hvenær er vara ekki í lagi samkvæmt neytendalögum?","skilgreining galla - daglegt orðalag","16. gr. Gallar.","Sama vænta heimild og í lagaorðaspurningu, en án hugtaksins söluhlutur.",,,,,,
5,legal_term,"Getur neytandi krafist úrbóta eða nýrrar afhendingar vegna galla?","úrbætur og ný afhending - lagaorð","29. gr. Krafa um úrbætur og nýja afhendingu.","Svar á að nefna val neytanda milli úrbóta og nýrrar afhendingar með skilyrðum.",,,,,,
6,everyday_paraphrase,"Get ég látið búðina laga vöruna eða fengið nýja?","úrbætur og ný afhending - daglegt orðalag","29. gr. Krafa um úrbætur og nýja afhendingu.","Sama vænta heimild og í lagaorðaspurningu, en spurning notar orðalag neytanda.",,,,,,
7,legal_term,"Hvenær þarf neytandi að tilkynna seljanda um galla á söluhlut?","tilkynning um galla - lagaorð","27. gr. Tilkynning.","Svar á að nefna tilkynningu án ástæðulauss dráttar og lágmarksfrest tveggja mánaða.",,,,,,
8,everyday_paraphrase,"Hversu fljótt þarf ég að láta búðina vita að varan sé biluð?","tilkynning um galla - daglegt orðalag","27. gr. Tilkynning.","Sama vænta heimild og í lagaorðaspurningu, en spurning notar daglegt orðalag.",,,,,,
9,legal_term,"Hvenær skal seljandi afhenda söluhlut ef afhendingartími var ekki ákveðinn?","afhendingartími - lagaorð","6. gr. Afhendingartími.","Svar á að nefna afhendingu án ástæðulausrar tafar og ekki síðar en 30 dögum.",,,,,,
10,everyday_paraphrase,"Hvenær á pöntunin mín að koma ef við sömdum ekki um dagsetningu?","afhendingartími - daglegt orðalag","6. gr. Afhendingartími.","Sama vænta heimild og í lagaorðaspurningu, en spurning notar orð eins og pöntun og dagsetningu.",,,,,,
11,legal_term,"Hver eru úrræði neytanda við afhendingardrátt seljanda?","afhendingardráttur - lagaorð","19. gr. Úrræði neytanda við greiðsludrátt.","Svar á að nefna úrræði vegna þess að hlutur er ekki afhentur eða afhentur of seint.",,,,,,
12,everyday_paraphrase,"Pöntunin mín kom of seint. Hvað get ég gert?","afhendingardráttur - daglegt orðalag","19. gr. Úrræði neytanda við greiðsludrátt.","Sama vænta heimild og í lagaorðaspurningu, en spurning notar eðlilegt neytendatal.",,,,,,
13,legal_term,"Hefur neytandi rétt til að falla frá fjarsölusamningi án þess að gefa ástæðu?","fráhvarfsréttur - lagaorð","16. gr. Réttur til að falla frá samningi.","Svar á að nefna 14 daga rétt til að falla frá samningi án ástæðu.",,,,,,
14,everyday_paraphrase,"Má ég hætta við netkaup án þess að útskýra af hverju?","fráhvarfsréttur - daglegt orðalag","16. gr. Réttur til að falla frá samningi.","Sama vænta heimild og í lagaorðaspurningu, en spurning notar netkaup og hætta við.",,,,,,
15,legal_term,"Hverjar eru skyldur seljanda ef neytandi fellur frá samningi?","endurgreiðsla - lagaorð","21. gr. Skyldur seljanda ef fallið er frá samningi.","Svar á að nefna endurgreiðslu án ástæðulausrar tafar og eigi síðar en 14 dögum.",,,,,,
16,everyday_paraphrase,"Hvenær fæ ég peningana til baka ef ég skila netpöntun?","endurgreiðsla - daglegt orðalag","21. gr. Skyldur seljanda ef fallið er frá samningi.","Sama vænta heimild og í lagaorðaspurningu, en spurning notar almennara orðalag um endurgreiðslu.",,,,,,
17,ambiguous,"Hver er munurinn á skilarétti og rétti vegna galla?","skilaréttur vs galli","42. gr. Skilaréttur eftir afhendingu.","Svar á að greina samningsbundinn skilarétt frá lögbundnum úrræðum vegna galla; líklega þarf líka heimild um galla.",,,,,,
18,multi_source,"Ég keypti gallaða vöru á netinu. Á ég frekar að nota réttinn til að hætta við kaupin eða gallareglurnar?","netkaup og galli","26. gr. Úrræði neytanda vegna galla.","Svar á að bera saman rétt til að falla frá netkaupum og úrræði vegna galla; líklega þarf fleiri en eina heimild.",,,,,,
19,no_source,"Getur þú sagt mér hvort ég eigi að höfða mál gegn seljandanum mínum?","lögfræðiráðgjöf","NO_RELEVANT_SOURCE","Svar á að forðast endanlega lögfræðiráðgjöf og segja að heimildir nægi ekki til að meta einstakt dómsmál.",,,,,,
20,no_source,"Hver eru bestu heyrnartólin til að kaupa í dag?","utan sviðs","NO_RELEVANT_SOURCE","Svar á að segja að spurningin falli utan neytendaréttarheimilda verkefnisins eða að heimildir nægi ekki.",,,,,,
